seed,netname,use_bit_wise,use_vec_wise,pairwise_multiplication,emb_dim,bit_width,vec_width,grid,k,dataset,task,epochs,batch_size,lr,weight_decay,gamma,note,device_index,test_auc,test_logloss
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8521683563427578,0.3181380361318588
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8538960438137314,0.31685320734977723
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8523134878733332,0.3178466930985451
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8542495278820297,0.3166001081466675
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8531893167204373,0.31734052747488023
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8533196370324772,0.3177210927009583
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8525887595398048,0.31789076924324033
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8544248180164591,0.31643611639738084
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.853410542312542,0.317058739066124
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,2,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8537529645594454,0.3171826466917992
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8533836796401457,0.3174191042780876
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8535011928745716,0.31742996275424956
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8521508183251318,0.31817714124917984
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8538638826494662,0.3168780475854874
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.853818070912921,0.31708174496889113
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8541477573156427,0.31664497703313826
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8533151385685815,0.31727211028337476
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8534430273909177,0.317604660987854
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8521312813792539,0.31822221875190737
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8535641214025912,0.31698823124170306
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8543026986754807,0.31645880490541456
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8511294044247141,0.3197460904717445
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",5,3,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8538135388716863,0.31709181517362595
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8535589549120413,0.31810744404792785
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8531937838151821,0.3176375672221184
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8511656453694345,0.3187983423471451
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.853644864579635,0.31753990352153777
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8530384740689897,0.3173809707164764
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8544018346189262,0.3160702228546143
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8518019356919885,0.3183523193001747
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8542086288595307,0.31724734604358673
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8531541980071486,0.3181215599179268
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.854477382788453,0.31613979190588
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8511318220836056,0.3196959406137466
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,1,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8532395705547305,0.3179947316646576
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8533953204042379,0.3182418629527092
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.853313067333713,0.3176140695810318
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8508597092384852,0.31923243403434753
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8538303667331191,0.31726026237010957
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8528480304232977,0.31761243790388105
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8544054813939189,0.31610351949930193
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8541173149274286,0.3172705203294754
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.852048154637553,0.3182346522808075
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8532479805794502,0.3180221825838089
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8546206746846735,0.31606539338827133
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,2,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8533297973868766,0.3179026186466217
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8511497073491681,0.3196979954838753
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8531782694719858,0.3176455408334732
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8534274226420246,0.31817718893289565
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.001,0.002,1e-05,0.9,None,1,0.8537420515166765,0.31740141808986666
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8507019366846968,0.31912548542022706
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8544692267032736,0.31601985841989516
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.01,0.003,1e-05,0.9,None,0,0.8530295318617451,0.31745365858078
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.001,0.003,1e-05,0.9,None,1,0.8540805728596274,0.3173506513237953
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.8517628601815735,0.3183772087097168
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8545787116840403,0.31609365791082383
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.01,0.004,1e-05,0.9,None,0,0.853156987069649,0.3180679023265839
42,KARSEIN,1,1,"[0, 1, 2]",16,"[32, 32]","[12, 12]",10,1,ml-1m,CTR,6,512,0.01,0.002,1e-05,0.9,None,0,0.8539808532083523,0.3172560498118401
42,KARSEIN,1,1,"[0, 1, 2]",32,"[32, 32]","[6, 6]",3,3,ml-1m,CTR,6,512,0.001,0.004,1e-05,0.9,None,1,0.8533350397143676,0.31793509274721143
